Starting processing for station: 'ACOR'.
Processing finished for station: 'ACOR'.
Starting processing for station: 'MADR'.
Processing finished for station: 'MADR'.
Starting processing for station: 'SCOA'.
Processing finished for station: 'SCOA'.
Starting processing for station: 'SFER'.
Processing finished for station: 'SFER'.
Starting processing for station: 'TLSE'.
Processing finished for station: 'TLSE'.
0.00000 0.96383 0.36821 2.63212 1.27206
30.00000 1.51278 -0.80295 2.74456 1.76977
60.00000 -1.05823 -0.59902 7.78848 0.82218
90.00000 0.72277 -1.04412 5.50924 0.60888
120.00000 0.88872 -1.38107 8.63838 0.14213
150.00000 0.69883 -0.38278 3.98105 0.90003
180.00000 0.62790 -0.12128 1.11455 1.30361
210.00000 0.49859 -0.18161 0.12647 1.62054
240.00000 0.33104 -0.02504 0.10422 1.73207
270.00000 0.25742 -0.22666 0.11480 2.02012
300.00000 0.07968 -0.31790 0.14241 2.17479
330.00000 0.00550 -0.19158 0.08906 2.24620
360.00000 -0.07849 -0.22467 0.29381 2.18299
390.00000 -0.06239 -0.28990 0.31529 2.15803
420.00000 0.00933 -0.25183 0.14298 2.15788
450.00000 -0.00117 -0.28859 0.07372 2.17416
480.00000 0.00617 -0.25435 0.08040 2.17849
510.00000 0.05542 -0.27477 0.07581 2.18597
540.00000 0.09868 -0.20600 -0.03032 2.16923
570.00000 0.10071 -0.07918 -0.10384 2.14535
600.00000 0.13583 -0.00140 -0.19484 2.11923
630.00000 0.16751 0.05200 -0.27937 2.13332
660.00000 0.16070 0.04823 -0.24940 2.13072
690.00000 0.11929 -0.00005 -0.18975 2.15728
720.00000 0.08979 0.03648 -0.17581 2.16352
750.00000 0.10007 0.00200 -0.19974 2.15656
780.00000 0.10999 -0.03864 -0.22314 2.16534
810.00000 0.08764 -0.06182 -0.24756 2.16433
840.00000 0.04568 -0.05120 -0.17545 2.17410
870.00000 0.02892 -0.06715 -0.11415 2.18128
900.00000 0.02640 -0.13538 -0.08828 2.19051
930.00000 0.01545 -0.13140 -0.08148 2.19239
960.00000 0.00711 -0.13549 -0.06809 2.19255
990.00000 0.00513 -0.12009 -0.04064 2.19525
1020.00000 -0.00928 -0.11669 -0.01341 2.19713
1050.00000 -0.01235 -0.06952 -0.00713 2.18916
1080.00000 -0.00814 -0.03918 0.00196 2.18851
1110.00000 -0.01175 -0.03138 0.00536 2.18261
1140.00000 -0.01676 -0.02212 -0.00431 2.18011
1170.00000 -0.02034 -0.01142 -0.00016 2.18097
1200.00000 -0.01359 -0.01873 0.00880 2.17594
1230.00000 -0.00406 -0.02163 0.01314 2.17475
1260.00000 -0.00510 -0.02688 0.00146 2.17094
1290.00000 -0.01381 -0.01796 0.00188 2.17301
1320.00000 -0.01907 -0.01053 0.00283 2.17526
1350.00000 -0.02831 0.01860 0.00167 2.17511
1380.00000 -0.02460 0.01795 0.01641 2.17540
1410.00000 -0.01921 0.02686 0.01087 2.17554
