  Launch date     Deactiv. date     SVN#        PRN#        Block       Mass
  1992-11-22        2008-10-17      032         001         IIA         975.0
  2008-10-23        2009-01-07      037         001         IIA         975.0
  2009-03-24        2011-05-07      049         001         IIR-M       1100.0
  2011-06-02        2011-07-13      035         001         IIA         975.0
  2011-07-16        0000            063         001         IIF         1555.3
  1989-06-10        2004-05-13      013         002         II          880.0
  2004-11-06        0000            061         002         IIR-B       1100.0
  1985-10-09        1994-04-14      011         003         I           521.8
  1996-03-28        2014-08-19      033         003         IIA         975.0
  2014-09-05        2014-10-21      035         003         IIA         975.0
  2014-10-29        0000            069         003         IIF         1555.3
  1978-02-22        1985-07-18      001         004         I           521.8
  1993-10-26        2015-11-10      034         004         IIA         975.0
  2016-02-02        0000            049         004         IIR-M       1100.0
  1980-02-09        1984-05-12      005         005         I           521.8
  1993-08-30        2009-06-09      035         005         IIA         975.0
  2009-08-17        0000            050         005         IIR-M       1100.0
  1978-10-06        1992-05-19      003         006         I           453.8
  1994-03-10        2014-03-04      036         006         IIA         975.0
  2014-04-03        2014-05-06      049         006         IIR-M       1100.0
  2014-05-17        0000            067         006         IIF         1555.3
  1978-05-13        1988-02-13      002         007         I           453.8
  1993-05-13        2008-01-15      037         007         IIA         975.0
  2008-03-15        0000            048         007         IIR-M       1100.0
  1978-12-10        1989-10-15      004         008         I           440.9
  1997-11-06        2015-04-14      038         008         IIA         975.0
  2015-04-30        2015-07-02      049         008         IIR-M       1100.0
  2015-07-15        0000            072         008         IIF         1555.3
  1980-04-26        1991-03-07      006         009         I           462.6
  1993-06-26        2014-07-22      039         009         IIA         975.0
  2014-08-02        0000            068         009         IIF         1555.3
  1996-07-16        2015-08-04      040         010         IIA         975.0
  2015-09-16        2015-10-27      036         010         IIA         975.0
  2015-10-31        0000            073         010         IIF         1555.3
  1983-07-14        1993-05-05      008         011         I           519.8
  1999-10-07        0000            046         011         IIR-A       1100.0
  1984-09-08        1996-03-28      010         012         I           519.8
  2006-11-17        0000            058         012         IIR-M       1100.0
  1984-06-13        1994-06-21      009         013         I           520.4
  1997-07-23        0000            043         013         IIR-A       1100.0
  1989-02-14        2000-04-16      014         014         II          880.0
  2000-11-10        0000            041         014         IIR-A       1100.0
  1990-10-01        2007-03-14      015         015         II          880.0
  2007-10-17        0000            055         015         IIR-M       1100.0
  1989-08-18        2000-10-14      016         016         II          880.0
  2003-01-29        0000            056         016         IIR-A       1100.0
  1989-12-11        2005-02-24      017         017         II          880.0
  2005-09-26        0000            053         017         IIR-M       1100.0
  1990-01-24        2000-08-19      018         018         II          880.0
  2001-01-30        0000            054         018         IIR-A       1100.0
  1989-10-21        2001-09-12      019         019         II          880.0
  2004-03-20        0000            059         019         IIR-B       1100.0
  1990-03-26        1996-12-14      020         020         II          880.0
  2000-05-11        0000            051         020         IIR-A       1100.0
  1990-08-02        2003-01-28      021         021         II          880.0
  2003-03-31        0000            045         021         IIR-A       1100.0
  1993-02-03        2003-08-07      022         022         IIA         975.0
  2003-12-21        0000            047         022         IIR-B       1100.0
  1990-11-26        2004-02-17      023         023         IIA         975.0
  2004-06-23        0000            060         023         IIR-B       1100.0
  1991-07-04        2011-10-01      024         024         IIA         975.0
  2012-02-02        2012-03-15      049         024         IIR-M       1100.0
  2012-03-15        2012-04-26      032         024         IIA         975.0
  2012-04-26        2012-05-31      037         024         IIA         975.0
  2012-08-09        2012-08-23      049         024         IIR-M       1100.0
  2012-10-04        0000            065         024         IIF         1555.3
  1992-02-23        2010-02-09      025         025         IIA         975.0
  2010-02-09        2010-05-28      035         025         IIA         975.0
  2010-05-28        0000            062         025         IIF         1555.3
  1992-07-07        2015-01-06      026         026         IIA         975.0
  2015-02-05        2015-02-25      032         026         IIA         975.0
  2015-02-27        2015-03-17      027         026         IIA         975.0
  2015-03-25        0000            071         026         IIF         1555.3
  1992-09-09        2012-10-18      027         027         IIA         975.0
  2012-10-18        2013-05-10      049         027         IIR-M       1100.0
  2013-05-15        0000            066         027         IIF         1555.3
  1992-04-10        1997-08-16      028         028         IIA         975.0
  2000-07-16        0000            044         028         IIR-A       1100.0
  1992-12-18        2007-10-24      029         029         IIA         975.0
  2007-12-20        0000            057         029         IIR-M       1100.0
  1996-09-12        2011-08-05      030         030         IIA         975.0
  2011-08-05        2013-05-07      035         030         IIA         975.0
  2013-05-10        2013-08-22      049         030         IIR-M       1100.0
  2013-08-22        2013-09-17      032         030         IIA         975.0
  2013-09-19        2013-10-08      037         030         IIA         975.0
  2013-12-03        2013-12-18      027         030         IIA         975.0
  2013-12-19        2014-02-11      049         030         IIR-M       1100.0
  2014-02-21        0000            064         030         IIF         1555.3
  1993-03-30        2005-10-25      031         031         IIA         975.0
  2006-09-25        0000            052         031         IIR-M       1100.0
  2006-12-02        2016-01-26      023         032         IIA         975.0
  2016-02-05        0000            070         032         IIF         1555.3
